                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1824,                 1.7199,                 1.2866,                0.67302,                0.49271,                0.57114,                0.42691,                    nan,                    nan,                    nan,              1.785e-05,              1.785e-05,              1.785e-05
                      2,                 1.2113,                 1.5364,                 1.2513,                 0.6608,                0.50091,                0.58556,                0.43732,                    nan,                    nan,                    nan,             2.4716e-05,             2.4716e-05,             2.4716e-05
                      3,                 1.2321,                 1.6588,                  1.275,                0.66245,                0.49599,                0.58975,                0.43659,                    nan,                    nan,                    nan,             1.9016e-05,             1.9016e-05,             1.9016e-05
