                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.3159,                0.80953,                0.97761,                0.65656,                0.39178,                0.43148,                0.24135,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     39,                 1.3116,                0.80784,                0.97675,                0.65508,                0.39381,                0.43234,                0.24201,                    nan,                    nan,                    nan,               0.005116,               0.005116,               0.005116
                     40,                 1.3128,                0.80772,                0.97719,                0.65929,                0.39223,                0.43304,                0.24272,                    nan,                    nan,                    nan,               0.004984,               0.004984,               0.004984
                     41,                 1.3124,                0.80607,                0.97725,                0.65677,                0.39404,                0.43409,                0.24296,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     42,                 1.3109,                0.80554,                0.97574,                0.65527,                0.39395,                0.43474,                0.24334,                    nan,                    nan,                    nan,                0.00472,                0.00472,                0.00472
                     43,                 1.3097,                0.80241,                 0.9753,                0.65793,                0.39319,                0.43531,                0.24371,                    nan,                    nan,                    nan,               0.004588,               0.004588,               0.004588
                     44,                 1.3076,                0.80021,                0.97492,                0.66141,                0.39447,                0.43651,                0.24422,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     45,                  1.307,                0.80027,                0.97444,                0.65955,                0.39523,                0.43706,                0.24479,                    nan,                    nan,                    nan,               0.004324,               0.004324,               0.004324
                     46,                 1.3043,                0.79792,                0.97402,                0.66165,                0.39557,                0.43785,                0.24523,                    nan,                    nan,                    nan,               0.004192,               0.004192,               0.004192
                     47,                 1.3033,                0.79567,                0.97344,                0.66092,                0.39622,                0.43854,                0.24561,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     48,                 1.3013,                0.79431,                  0.973,                0.65594,                0.39786,                0.43905,                0.24604,                    nan,                    nan,                    nan,               0.003928,               0.003928,               0.003928
                     49,                 1.3003,                0.79332,                0.97188,                0.65434,                 0.4001,                0.43965,                0.24648,                    nan,                    nan,                    nan,               0.003796,               0.003796,               0.003796
                     50,                 1.3007,                0.79154,                0.97217,                0.65385,                0.40175,                0.44028,                0.24681,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     51,                 1.2976,                0.78938,                0.97062,                0.65352,                0.40384,                0.44085,                0.24721,                    nan,                    nan,                    nan,               0.003532,               0.003532,               0.003532
